sourceID,reportingCompany,reportingCountry,sourceURL,format,startDate,endDate,sourcePublishDate
5e250c3e93c3e8337cbdacf088647a3b-5c1f9f75b92f961ace297a10e9837dc9-98587fcd69d9a8c95927419d56d9bffc-d2bb3dc7733635dd402b4d6e267eb3ce,Cairn Energy PLC,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report5e250c3e93c3e8337cbdacf088647a3b-5c1f9f75b92f961ace297a10e9837dc9-98587fcd69d9a8c95927419d56d9bffc-d2bb3dc7733635dd402b4d6e267eb3ce,.zip,01-01-2015,12-31-2015,08-01-2016
dd69d1681bb329bbf7d6f5a30b1a50de,Canasil Resources Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reportdd69d1681bb329bbf7d6f5a30b1a50de,.pdf,01-01-2017,12-31-2017,06-11-2018
e68ba095db01cc5a6438dcfe4ac1ea8f,Cautivo Mining Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-reporte68ba095db01cc5a6438dcfe4ac1ea8f,.pdf,01-01-2017,12-31-2017,05-30-2018
0addc214f0b02a813c8f3ab4a2862343,Mosaic Esterhazy Holdings ULC,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-0addc214f0b02a813c8f3ab4a2862343,.xlsx,01-01-2018,12-31-2018,05-30-2019
98906711c2093067c2ef1bb8b7265547,Advantage Oil and Gas Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-98906711c2093067c2ef1bb8b7265547,.pdf,01-01-2018,12-31-2018,05-29-2019
11679f34b9da64b3582263ba3dd71919,Agrium Incorporated,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report11679f34b9da64b3582263ba3dd71919,.pdf,01-01-2017,12-31-2017,05-30-2018
db989ecc58a916ddac50a27cd37d79bb,Aker BP ASA,Norway,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-db989ecc58a916ddac50a27cd37d79bb,.pdf,01-01-2018,12-31-2018
24665be1c4adbdc1e1dfae21a4e58a81-87a849d8c098f818a2fe2cb4c64a3210-71f5baa7567ac45c8cde6bdbb3e7a3a4-4bcda01aeb919c18efcde4a724eda56a,Abu Dhabi Marine Areas Limited,United Kingdom of Great Britain and Northern Ireland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report24665be1c4adbdc1e1dfae21a4e58a81-87a849d8c098f818a2fe2cb4c64a3210-71f5baa7567ac45c8cde6bdbb3e7a3a4-4bcda01aeb919c18efcde4a724eda56a,.zip,01-01-2016,12-31-2016,11-20-2017
430c1ed4a39e2ca2be02f00655fdd843,Accel Energy Canada Limited,Canada,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-430c1ed4a39e2ca2be02f00655fdd843,.pdf,07-01-2017,06-30-2018,11-27-2018
f157a8d85c71b9ce84738eb598f1aed2,Grupa LOTOS S.A.,Poland,https://s3.us-east-2.amazonaws.com/rp-20-sources/mandatory-disclosure-report-f157a8d85c71b9ce84738eb598f1aed2,.pdf,01-01-2017,12-31-2017
