sourceID,entityName,reportingCompany,entityCountry,paymentType,startDate,endDate,value(USD),notes,NRGINotes
4f699ccd5fdc2a70de9b952f6151c20a,"General Directorate of Customs; Ministry of Economy, Finance and Planning; Senegal",Teranga Gold Corporation,Senegal,Taxes,01-01-2016,12-31-2016,3770000,Customs duties and Community parafiscal levies,"'Direction Genrale Des Douane (DGD)' changed to 'General Directorate of Customs; Ministry of Economy, Finance and Planning; Senegal'"
d2d98fc7d314415f4fe28cf93169441a,"General Directorate of Customs; Ministry of Economy, Finance and Planning; Senegal","Grupa Azoty Zaklady Chemiczne ""Police"" S.A.",Senegal,Taxes,01-01-2016,12-31-2016,48189,,"'General Directorate to customs duties' changed to 'General Directorate of Customs; Ministry of Economy, Finance and Planning; Senegal'; 'Taxes collected on income, production or company profits, excluding tax from consumption, such as tax goods and services, income tax on natural persons or sales tax' changed to 'Taxes'"
6270a71eafb44b9a92d3bbe2d4613858,National Government of Senegal,Iamgold Corporation,Senegal,Taxes,01-01-2020,12-31-2020,260000,"Paid in CFA and USD. Bonuses includes the
10% free-carried interest transferred to theNational Government of Senegal to the value of$3.6 million"
65902e6b3335b17a625064e9ea93a1ee,Kedougou Departmental & Tomboronkoto Municipal Administrations,Resolute Mining Limited,Senegal,Payments for infrastructure improvements,01-01-2019,12-31-2019,136642,,"'Infrastructure Improvement' changed to 'Payments for infrastructure improvements'"
65902e6b3335b17a625064e9ea93a1ee,General Directorate of Public Accounting and Treasury; Ministry of Finance and Budget; Senegal,Resolute Mining Limited,Senegal,Royalties,01-01-2019,12-31-2019,3705340,,"'Receiver General of Public Treasury (Ministry of Finance)' changed to 'General Directorate of Public Accounting and Treasury; Ministry of Finance and Budget; Senegal'"
7d050b3fa4b9514a9913b9f505612c9d,Regional Government,Vicat S.A.,Senegal,Royalties,01-01-2017,12-31-2017,1507420,,"'Niveau National' changed to 'Regional Government'"
7d050b3fa4b9514a9913b9f505612c9d,Local Government,Vicat S.A.,Senegal,Taxes,01-01-2017,12-31-2017,2291640,,"'Niveau Local' changed to 'Local Government'; 'Taxes and duties on production' changed to 'Taxes'"
81388bb3c90accc489cb2ce097e66d3e,Government of Senegal; Perception of Kedougou,Thor Explorations Ltd.,Senegal,Fees,01-01-2020,12-31-2020,1464,Payment of license renewal fees and permitting costs.
81388bb3c90accc489cb2ce097e66d3e,Government of Senegal; Saraya Forest Sector,Thor Explorations Ltd.,Senegal,Fees,01-01-2020,12-31-2020,5888,Payment of permitting costs.
853c2e851d9e7ead5fd725fa45b6b209,Regional Service of Mines; Region of Kedougou; Senegal,Thor Explorations Ltd.,Senegal,Fees,01-01-2019,12-31-2019,5616,"Payment of license renewal fees. Note: Fees were paid in the local currency, West African Franc, and converted to Thor's reporting currency, the CAD, using the 2019 FX rate of 444.94 at the date of payment","'Government of Senegal; Kedougou regional mining service' changed to 'Regional Service of Mines; Region of Kedougou; Senegal'"
ab1354a0a521c48082b1d7c33412f92a,City of Tivaouane; Department of Tivaouane; Region of Thies; Senegal,Eramet S.A.,Senegal,Payments for infrastructure improvements,01-01-2018,12-31-2018,416179,"""Mandatory"" social program of GO for the execution of equipment works for villagers affected by the exploitation minière; The company Grande Côte Opérations SA (GCO) is 90% owned by Tizir Limited, a company that is owned 50% by Eramet until July 2018 and then 100% following Eramet's tender offer. Mineral Deposits Ltd. The amount indicated corresponds to the totality of the payment made by GCO during the year 2018.","'Municipality of Tivaouane' changed to 'City of Tivaouane; Department of Tivaouane; Region of Thies; Senegal'"
ab1354a0a521c48082b1d7c33412f92a,Autonomous Port of Dakar; Senegak,Eramet S.A.,Senegal,Fees,01-01-2018,12-31-2018,130223,"The company Grande Côte Opérations SA (GCO) is 90% owned by Tizir Limited, a company that is owned 50% by Eramet until July 2018 and then 100% following Eramet's tender offer. Mineral Deposits Ltd. The amount indicated corresponds to the totality of the payment made by GCO during the year 2018.","'Autonomous Port of Dakar' changed to 'Autonomous Port of Dakar; Senegak'; 'Rental fees' changed to 'Fees'"
afb278befc0449a3377951fd13944209,Government of the Republic of Senegal,TotalEnergies SE (formerly Total S.A.),Senegal,Payments for infrastructure improvements,01-01-2019,12-31-2019,350000,,"'Etat du Sénégal C/O Fondation Total Sénegal' changed to 'Government of the Republic of Senegal'; 'Infrastructure improvements' changed to 'Payments for infrastructure improvements'"
b5b5dae40f7aab4c5642a09ef6211078,Ministry of Industry and Mines; Senegal,Eramet S.A.,Senegal,Royalties,01-01-2015,12-31-2015,2537707,,"'Ministère de l'Industrie, des Mines - Service régional de Thies' changed to 'Ministry of Industry and Mines; Senegal'"
b6cdc144d3420f3ef94f819be4416ffa,Commune of Kebemer; Department of Kebemer; Region of Louga; Senegal,"Grupa Azoty Zaklady Chemiczne ""Police"" S.A.",Senegal,Taxes,01-01-2017,12-31-2017,542406,główną pozycję (w kwocie 2 044 tys. zł) stanowi podatek od dochodów niehandlowych (podatek u źródła w stawce 20%),"'Kebemer' changed to 'Commune of Kebemer; Department of Kebemer; Region of Louga; Senegal'; 'Podatki pobierane od dochodu, produkcji lub zysków spółek, z wyłączeniem podatku od konsumpcji, takiego jak podatek od towarów i usług, podatku dochodowego od osób fizycznych lub podatku od sprzedaży' changed to 'Taxes'"
b6cdc144d3420f3ef94f819be4416ffa,Individual level payments,"Grupa Azoty Zaklady Chemiczne ""Police"" S.A.",Senegal,Taxes,01-01-2017,12-31-2017,202738,główną pozycję (w kwocie 433 tys. zł) stanowi opłata dotycząca 5% podatku od sprzedaży w lipcu 2013 roku testowej partii fosforytów,"'Płatnosci na poziomie jednostki' changed to 'Individual level payments'; 'Podatki pobierane od dochodu, produkcji lub zysków spółek, z wyłączeniem podatku od konsumpcji, takiego jak podatek od towarów i usług, podatku dochodowego od osób fizycznych lub podatku od sprzedaży' changed to 'Taxes'"
d2d98fc7d314415f4fe28cf93169441a,General Directorate of Taxes and the Treasury | Tax Office | Local Government,"Grupa Azoty Zaklady Chemiczne ""Police"" S.A.",Senegal,Taxes,01-01-2016,12-31-2016,930307,the main position (in the amount of PLN 3 337 thousand) is a tax on non-commercial income (tax on sources in the 20% rate),"'General Directorate of Taxes and the Treasury: tax office, local government' changed to 'General Directorate of Taxes and the Treasury | Tax Office | Local Government'; 'Taxes collected on income, production or company profits, excluding tax from consumption, such as tax goods and services, income tax on natural persons or sales tax' changed to 'Taxes'"
e04fcf3ffac88b92c056525aff1633f7,"Government of Sénégal; Agence de Gestion et de 
Coopération entre le Sénégal et la Guinée-Bissau",Forza Petroleum Limited,Senegal,Fees,01-01-2020,12-31-2020,117500,"Production sharing contract 
compliance costs. See note (3)."
e5692fac6c9dd504d3eb768d1ebd0cd1,Ministry of Economy and Finance; Senegal,Eramet S.A.,Senegal,Royalties,01-01-2016,12-31-2016,3661356,,"'Ministre Des Finances Du Senegal' changed to 'Ministry of Economy and Finance; Senegal'; 'Redevances' changed to 'Royalties'"
